image_filename,label_image_filename,annotation_image_filename,classes_array,num_classes,classes_integer,classes_present_integer,classes_present_array,pen_width,CRF_theta,CRF_mu,CRF_downsample_factor,Classifier_downsample_factor,prob_of_unary_potential,doodle_spatial_density,num_of_scales,acc_georef,epsg,year,month,day,hour,minute,second,XMin,XMax,YMin,YMax,LonMin,LonMax,LatMin,LatMax,CRS,px_size_m,ImageHeightPx,ImageWidthPx,ImageBands
duck_2014-01-04-15-36-14_L8_rgbr_ID2_image.jpg,duck_2014-01-04-15-36-14_L8_rgbr_ID2_label.jpg,duck_2014-01-04-15-36-14_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 6, 8","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",3,1,1,1,4,0.9,0.607406958419202,3,10.5629997253418,32618,2014,1,4,15,36,14,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-01-20-15-36-01_L8_rgbr_ID2_image.jpg,duck_2014-01-20-15-36-01_L8_rgbr_ID2_label.jpg,duck_2014-01-20-15-36-01_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 2, 3, 4, 6, 8","'water', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",1,1,1,1,4,0.9,0.598860467935507,3,7.68900012969971,32618,2014,1,20,15,36,1,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-03-09-15-35-26_L8_rgbr_ID2_image.jpg,duck_2014-03-09-15-35-26_L8_rgbr_ID2_label.jpg,duck_2014-03-09-15-35-26_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 6, 8","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",5,1,1,1,4,0.9,0.704024730270335,3,8.22799968719482,32618,2014,3,9,15,35,26,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-04-01-15-41-16_L8_rgbr_ID2_image.jpg,duck_2014-04-01-15-41-16_L8_rgbr_ID2_label.jpg,duck_2014-04-01-15-41-16_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 6, 8","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",5,1,1,1,4,0.9,0.842647593647714,3,7.72100019454956,32618,2014,4,1,15,41,16,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-04-10-15-34-57_L8_rgbr_ID2_image.jpg,duck_2014-04-10-15-34-57_L8_rgbr_ID2_label.jpg,duck_2014-04-10-15-34-57_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 6, 8","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",5,1,1,1,4,0.9,0.827979148987756,3,5.5310001373291,32618,2014,4,10,15,34,57,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-04-17-15-40-59_L8_rgbr_ID2_image.jpg,duck_2014-04-17-15-40-59_L8_rgbr_ID2_label.jpg,duck_2014-04-17-15-40-59_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 6, 8","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",5,1,1,1,4,0.9,0.893684082919141,3,8.02200031280518,32618,2014,4,17,15,40,59,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-05-12-15-34-28_L8_rgbr_ID2_image.jpg,duck_2014-05-12-15-34-28_L8_rgbr_ID2_label.jpg,duck_2014-05-12-15-34-28_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 2, 3, 4, 6, 8","'water', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",5,1,1,1,4,0.9,0.813795611589283,3,5.73799991607666,32618,2014,5,12,15,34,28,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-05-19-15-40-34_L8_rgbr_ID2_image.jpg,duck_2014-05-19-15-40-34_L8_rgbr_ID2_label.jpg,duck_2014-05-19-15-40-34_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 6, 8","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",5,1,1,1,4,0.9,0.876227421505637,3,7.65999984741211,32618,2014,5,19,15,40,34,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-10-10-15-41-16_L8_rgbr_ID2_image.jpg,duck_2014-10-10-15-41-16_L8_rgbr_ID2_label.jpg,duck_2014-10-10-15-41-16_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 2, 3, 4, 6, 8","'water', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",5,1,1,1,4,0.9,0.77003273124015,3,7.47499990463257,32618,2014,10,10,15,41,16,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
duck_2014-10-26-15-41-15_L8_rgbr_ID2_image.jpg,duck_2014-10-26-15-41-15_L8_rgbr_ID2_label.jpg,duck_2014-10-26-15-41-15_L8_rgbr_ID2.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 2, 3, 4, 6, 8","'water', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'development', 'nodata'",5,1,1,1,4,0.9,0.801188022790641,3,7.4539999961853,32618,2014,10,26,15,41,15,442237.5,443932.5,3980047.5,3982237.5,-75.6405944301635,-75.6219525094363,35.9631193614374,35.9829620684936,epsg:4326,15,113,146,3
