image_filename,label_image_filename,annotation_image_filename,user_ID,acc_georef,epsg,year,month,day,hour,min,sec,XMin,XMax,YMin,YMax,LonMin,LonMax,LatMin,LatMax,ImageHeightPx,ImageWidthPx,ImageBands,px_m,classes_array,num_classes,classes_integer,classes_present_integer,classes_present_array,pen_width,CRF_theta,CRF_mu,CRF_downsample_factor,Classifier_downsample_factor,prob_of_unary_potential,doodle_spatial_density,num_of_scales
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_01_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_01_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_01_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376589.3,376640.5,4625029.35,4625080.55,-70.4847390453408,-70.4841338909163,41.7675141294369,41.7679830921998,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","1, 2, 3, 4, 5, 6","'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata'",2,1,1,1,4,0.9,0.104576110839843,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_02_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_02_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_02_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376640.5,376691.7,4625029.35,4625080.55,-70.4841232636182,-70.4835181045403,41.7675220871207,41.7679910467125,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","1, 2, 3, 4, 5, 6","'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata'",2,1,1,1,4,0.9,0.085429191589355,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_03_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_03_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_03_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376691.7,376742.9,4625029.35,4625080.55,-70.4835074816477,-70.4829023179166,41.7675300415054,41.767998997926,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","1, 2, 3, 4, 5, 6","'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata'",2,1,1,1,4,0.9,0.062019348144531,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_04_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_04_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_04_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376742.9,376794.1,4625029.35,4625080.55,-70.4828916994294,-70.4822865310451,41.7675379925909,41.7680069458403,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","0, 1, 2, 3, 4, 6","'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'nodata'",2,1,1,1,4,0.9,0.163813591003417,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_05_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_05_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_05_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376794.1,376845.3,4625029.35,4625080.55,-70.4822759169634,-70.481670743926,41.7675459403774,41.7680148904555,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","0, 1, 2, 3, 4, 6","'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'nodata'",2,1,1,1,4,0.9,0.043479919433593,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_06_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_06_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_06_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376845.3,376896.5,4625029.35,4625080.55,-70.4816601342499,-70.4810549565594,41.7675538848647,41.7680228317714,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","0, 1, 2, 3, 4, 6","'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'nodata'",2,1,1,1,4,0.9,0.022069931030273,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_07_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_07_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_07_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376896.5,376947.7,4625029.35,4625080.55,-70.4810443512888,-70.4804391689455,41.767561826053,41.7680307697883,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","0, 1, 2, 3, 4, 6","'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'nodata'",2,1,1,1,4,0.9,0.024147033691406,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_08_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_08_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_08_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376947.7,376998.9,4625029.35,4625080.55,-70.4804285680803,-70.4798233810842,41.7675697639421,41.7680387045059,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","0, 1, 2, 3, 4, 6","'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'nodata'",2,1,1,1,4,0.9,0.03907299041748,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_09_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_09_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_01_09_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376998.9,377043.55,4625029.35,4625080.55,-70.4798127846245,-70.4792863705698,41.7675776985321,41.7680456214445,1024,893,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","0, 1, 2, 3, 4, 6","'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'nodata'",5,1,1,1,4,0.9,0.170543025615901,3
/images/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_02_01_ID2.jpg,/labels/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_02_01_ID2_label.jpg,/npz/20160921_SandwichTNB_Ortho_5cm_UTM19N_NAVD88_cog_5cm_clipped_02_01_ID2.npz,ID2,1,26919,2016,9,21,12,0,0,376589.3,376640.5,4624978.15,4625029.35,-70.4847284138853,-70.4841232636182,41.7670531244464,41.7675220871207,1024,1024,3,0.05,"'water', 'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development', 'nodata', 'unusual'",8,"1, 2, 3, 4, 5, 6, 7","1, 2, 3, 4, 5","'sand', 'gravel', 'cobble_boulder', 'vegetated', 'development'",2,1,1,1,4,0.9,0.107085227966308,3
